item,itemLabel,alias
http://www.wikidata.org/entity/Q6351902,Princess Sophie of Saxe-Weimar-Eisenach,Princess Sophie Louise of Saxe-Weimar-Eisenach
http://www.wikidata.org/entity/Q6351902,Princess Sophie of Saxe-Weimar-Eisenach,Sophie Luise Prinzessin von Sachsen-Weimar-Eisenach
http://www.wikidata.org/entity/Q6408488,Laetitia d'Arenberg,Laetitia Marie Madelaine Susanne Valentine de Belzunce-d'Arenberg
http://www.wikidata.org/entity/Q6425396,"Princess Valerie, Margravine of Baden",Archduchess Valerie of Austria
http://www.wikidata.org/entity/Q6425396,"Princess Valerie, Margravine of Baden",Valerie Isabella Erzherzogin von Österreich
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Amanda Knatchbull
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Amanda Knatchbull Ellingworth
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Amanda Patricia Victoria Ellingworth
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Amanda Patricia Victoria Knatchbull
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Lady Amanda Knatchbull
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Lady Amanda Patricia Victoria Ellingworth
http://www.wikidata.org/entity/Q6469925,Amanda Ellingworth,Lady Amanda Patricia Victoria Knatchbull
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Brigid Katharine Rachel Guinness
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Brigid Katharine Rachel Ness
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Brigid Ness
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Lady Brigid Katharine Rachel Guinness
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Lady Brigid Katharine Rachel Ness
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Lady Brigid Ness
http://www.wikidata.org/entity/Q6469999,Brigid Guinness,Princess Frederick of Prussia
http://www.wikidata.org/entity/Q6490795,"Marie Alix, Duchess of Schleswig-Holstein",Marie-Alix Prinzessin zu Schaumburg-Lippe
http://www.wikidata.org/entity/Q6490795,"Marie Alix, Duchess of Schleswig-Holstein",Princess Marie Alix of Schaumburg-Lippe
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield",Lady Leonora Grosvenor
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield",Lady Leonora Mary Grosvenor
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield",Leonora Grosvenor
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield",Leonora Lichfield
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield","Leonora Mary Anson, Countess of Lichfield"
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield",Leonora Mary Grosvenor
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield","Leonora Mary, Countess of Lichfield"
http://www.wikidata.org/entity/Q6526686,"Leonora Anson, Countess of Lichfield","Leonora, Countess of Lichfield"
http://www.wikidata.org/entity/Q6530298,Princess Christina Margarethe of Hesse,Christina Margarethe of Hesse
http://www.wikidata.org/entity/Q6530298,Princess Christina Margarethe of Hesse,Christine of Hesse-Cassel
http://www.wikidata.org/entity/Q6658829,Princess Irina of Romania,Irina de Roumanie
http://www.wikidata.org/entity/Q6658829,Princess Irina of Romania,Irina Walker
http://www.wikidata.org/entity/Q6658829,Princess Irina of Romania,The Princess Irina of Romania
