person,personLabel,article
http://www.wikidata.org/entity/Q62109,"Friedrich Karl Ludwig, Duke of Schleswig-Holstein-Sonderburg-Beck","https://en.wikipedia.org/wiki/Friedrich_Karl_Ludwig,_Duke_of_Schleswig-Holstein-Sonderburg-Beck"
http://www.wikidata.org/entity/Q62262,"Augustus, Duke of Saxe-Gotha-Altenburg","https://en.wikipedia.org/wiki/Augustus,_Duke_of_Saxe-Gotha-Altenburg"
http://www.wikidata.org/entity/Q62273,"Francis Josias, Duke of Saxe-Coburg-Saalfeld","https://en.wikipedia.org/wiki/Francis_Josias,_Duke_of_Saxe-Coburg-Saalfeld"
http://www.wikidata.org/entity/Q62380,Peter August of Schleswig-Holstein-Sonderburg-Beck,"https://en.wikipedia.org/wiki/Peter_August,_Duke_of_Schleswig-Holstein-Sonderburg-Beck"
http://www.wikidata.org/entity/Q62533,"Frederick, Hereditary Prince of Baden-Durlach","https://en.wikipedia.org/wiki/Frederick,_Hereditary_Prince_of_Baden-Durlach"
http://www.wikidata.org/entity/Q63603,Princess Charlotte of Saxe-Meiningen,https://en.wikipedia.org/wiki/Princess_Charlotte_of_Saxe-Meiningen
http://www.wikidata.org/entity/Q64194,Countess Charlotte of Hanau-Lichtenberg,https://en.wikipedia.org/wiki/Countess_Charlotte_of_Hanau-Lichtenberg
http://www.wikidata.org/entity/Q64218,Countess Maria Louise Albertine of Leiningen-Falkenburg-Dagsburg,https://en.wikipedia.org/wiki/Countess_Maria_Louise_Albertine_of_Leiningen-Dagsburg-Falkenburg
http://www.wikidata.org/entity/Q64207,Princess Magdalena Augusta of Anhalt-Zerbst,https://en.wikipedia.org/wiki/Princess_Magdalena_Augusta_of_Anhalt-Zerbst
http://www.wikidata.org/entity/Q64223,Karl Anton August von Schleswig-Holstein-Sonderburg-Beck,https://en.wikipedia.org/wiki/Prince_Karl_Anton_August_of_Schleswig-Holstein-Sonderburg-Beck
http://www.wikidata.org/entity/Q65234,Princess Charlotte Sophie of Saxe-Coburg-Saalfeld,https://en.wikipedia.org/wiki/Princess_Charlotte_Sophie_of_Saxe-Coburg-Saalfeld
http://www.wikidata.org/entity/Q65885,"Ernest Augustus I, Duke of Saxe-Weimar-Eisenach","https://en.wikipedia.org/wiki/Ernest_Augustus_I,_Duke_of_Saxe-Weimar-Eisenach"
http://www.wikidata.org/entity/Q68351,August von Senarclens de Grancy,https://en.wikipedia.org/wiki/August_von_Senarclens_de_Grancy
http://www.wikidata.org/entity/Q71995,Christian Karl Reinhard of Leiningen-Dachsburg-Falkenburg-Heidesheim,https://en.wikipedia.org/wiki/Christian_Karl_Reinhard_of_Leiningen-Dagsburg-Falkenburg
